Mitä sinä teet vappa-ajalla?;Vad gör du på fritiden?
olla kavereiden kanssa;vara, är med kompisar
olla somessa;vara, är på sociala medier
olla ulkona;vara, är ute
tehdä videoita;göra, gör videor
kuunnella musiikkia;lyssna på musik
katsoa sarjoja/eloukuvia;titta, tittar på serier/filmer
pelata tietokonepelejä;spela, spelar dataspel
kirjoittaa;skriva, skriver
lukea;läsa, läser
piirtää;rita, ritar
valokuvata;fotografera, fotograferar
nukkua;sova, sover
