laatikko 1;en låda, lådan, lådor, lådorna
nurmikolle, nurmikolla;på gräsmattan
huutaa jollekin I;ropa, ropar, ropade, ropat åt
palautuspiste;en pantbod, -boden
on kiinnostunut jostakin;är intresserad av
olla IV;vara, är, var, varit
luonto ja ympäristö;natur och miljö
jäsen 2;en medlem, medlemmen, medlemmar, medlemmarna
norjalainen;norsk, norskt, norska
ympäristöjärjestö 3;en miljöorganisation, -organisationen, -organisationer, -organisationerna
monet muut;många andra
työskentelevät vapaaehtoisina;jobbar som frivilliga
vapaaehtoinen;frivillig, frivilligt, frivilliga
festivaalialue;ett festivalområde, -området
lajitella I;sortera, sorterar, sorterade, sorterat
roskat;sopor, soporna
