ystävä 3;en vän, vännen, vänner, vännerna
Tukholman eri osista;från olika delar av Stockholm
yhtenä iltana;en kväll
laskea I;räkna, räknar, räknade, räknat
että;att
puhua I;tala, talar, talade, talat
17 eri kieltä;sjutton olika språk
Siistiä!;Häftigt!
nukkua IV;sova, sover, sov, sovit
pieni;liten, litet, små
mökki 1;en stuga, stugan, stugor, stugorna
henkilö 3;en person, personen, personer, personerna
per talo;per hus
poika 2;en kille, killen, killar, killarna
päärakennus;en huvudbyggnad, -byggnaden
